全局章序,卷,卷内章号_文本,章名,正文区间字符数_含章末附注,起始位置,结束位置
303,无面人,90,菜鸟,3061,1141135,1144718
304,无面人,91,羽毛,3205,1144718,1148566
305,无面人,92,侦探交流会,3272,1148566,1152311
306,无面人,93,“巨人”主教,3054,1152311,1155790
307,无面人,94,黎明骑士,3272,1155790,1159533
308,无面人,95,有准备的“魔术师”,3163,1159533,1163286
309,无面人,96,二挑一,3230,1163286,1167082
310,无面人,97,大气污染调查委员会,3034,1167082,1170574
311,无面人,98,互相观察,3198,1170574,1174219
312,无面人,99,不成功的伪装,3340,1174219,1178014
313,无面人,100,古老的神灵,3259,1178014,1181834
314,无面人,101,可能（周一求推荐票和月票）,3180,1181834,1185508
315,无面人,102,重返丰收教堂（求月票推荐票）,3370,1185508,1189498
316,无面人,103,不做没准备的表演,3258,1189498,1193304
317,无面人,104,罗塞尔纪念展,3062,1193304,1196876
318,无面人,105,验证之法,3363,1196876,1200688
319,无面人,106,奥黛丽的“冒险”,3198,1200688,1204488
320,无面人,107,行动,3230,1204488,1208194
321,无面人,108,大变活人,3269,1208194,1212067
322,无面人,109,刺激的夜晚,3120,1212067,1215762
323,无面人,110,开启咒文,4330,1215762,1220833
324,无面人,111,想象的和实际的“眷者”（求月票）,3144,1220833,1224450
325,无面人,112,马术教练的问题（求月票）,3278,1224450,1228311
326,无面人,113,“专业”的建议（求月票）,3080,1228311,1231896
327,无面人,114,路遇（求月票）,3323,1231896,1235623
328,无面人,115,常在河边走（第一更求推荐票月票）,3244,1235623,1239418
329,无面人,116,爪痕（第二更求月票推荐票）,3132,1239418,1243146
330,无面人,117,莎伦和马里奇的理念（第三更求月票推荐票）,3093,1243146,1246722
331,无面人,118,被诅咒者,3164,1246722,1250341
332,无面人,119,公证书,3290,1250341,1254223
333,无面人,120,跟踪者,3147,1254223,1257955
334,无面人,121,子弹,3075,1257955,1261525
335,无面人,122,探索威尔迪街,3082,1261525,1265082
336,无面人,123,亚伯拉罕家族,3043,1265082,1268636
337,无面人,124,寻人,3876,1268636,1273126
338,无面人,125,经验丰富的克莱恩,3346,1273126,1277075
339,无面人,126,心理医生,3212,1277075,1280790
340,无面人,127,过去,3441,1280790,1284774
341,无面人,128,单独的交流,3292,1284774,1288588
342,无面人,129,“老油条”阿尔杰,3223,1288588,1292294
343,无面人,130,各自（第一更求推荐票月票）,3125,1292294,1295936
344,无面人,131,一掷千金（第二更求推荐票月票）,3112,1295936,1299628
345,无面人,132,太阳胸针（第三更求月票推荐票）,3156,1299628,1303370
346,无面人,133,登台前的魔术师,3160,1303370,1307156
347,无面人,134,活尸和狼人,3298,1307156,1311006
348,无面人,135,可怕的“怨魂”,3105,1311006,1314701
349,无面人,136,毒素瓶,3231,1314701,1318500
350,无面人,137,灿烂的烟花,3647,1318500,1322813
351,无面人,138,问答“游戏”,3148,1322813,1326484
352,无面人,139,早餐,3128,1326484,1330167
353,无面人,140,今时不同往日,3035,1330167,1333850
354,无面人,141,东区“冒险”记,3476,1333850,1338004
355,无面人,142,外来者,3118,1338004,1341708
356,无面人,143,线人费,3037,1341708,1345229
357,无面人,144,宴会见闻,3780,1345229,1349710
358,无面人,145,“太阳”的担忧（周一求推荐票月票）,3170,1349710,1353432
359,无面人,146,渎神者（求月票推荐票）,3187,1353432,1357141
360,无面人,147,一个困难的问题,3159,1357141,1360830
361,无面人,148,半透明的小虫,3117,1360830,1364524
362,无面人,149,密契仪式,3052,1364524,1367989
363,无面人,150,高位格,3216,1367989,1371670
364,无面人,151,宁静教堂,3083,1371670,1375268
365,无面人,152,爱好独特的吸血鬼,3183,1375268,1379042
366,无面人,153,“倒吊人”的野心,3123,1379042,1382654
367,无面人,154,恐吓信,3104,1382654,1386284
368,无面人,155,不按常理出牌,3072,1386284,1389939
369,无面人,156,暗示,3117,1389939,1393653
370,无面人,157,观众的喝彩,3260,1393653,1397411
371,无面人,158,莫里亚蒂侦探的第一个粉丝,3302,1397411,1401452
372,无面人,159,失踪事件（周一求推荐票并祝大家中秋快乐）,3227,1401452,1405312
373,无面人,160,寻人（周一求推荐票）,3252,1405312,1409222
374,无面人,161,人工梦游,3215,1409222,1412844
375,无面人,162,“邪神”的骚操作（求月票）,3246,1412844,1416668
376,无面人,163,赫拉斯先生,3066,1416668,1420310
377,无面人,164,卡平的晚餐,3178,1420310,1424106
378,无面人,165,表演开始,3085,1424106,1427724
379,无面人,166,魔术的关键环节,3923,1427724,1432381
380,无面人,167,谢幕（第一更求月票）,3413,1432381,1436429
381,无面人,168,猜测（第二更求月票）,3216,1436429,1440244
382,无面人,169,侠盗（第三更）,4337,1440244,1445234
383,无面人,170,回家（第一更求月票）,3163,1445234,1448905
384,无面人,171,自己查自己（第二更求月票）,3092,1448905,1452491
385,无面人,172,一个有关爱情的故事（第三更求月票）,3130,1452491,1456177
386,无面人,173,一场噩梦（求月票）,3420,1456177,1460105
387,无面人,174,灵界的特殊（求月票）,3517,1460105,1464089
388,无面人,175,探索梦境（第一更求保底月票）,5005,1464089,1469702
389,无面人,176,值夜者（第二更求月票）,3192,1469702,1473398
390,无面人,177,期待（第三更求月票）,3397,1473398,1477316
391,无面人,178,大航海家罗塞尔（求月票）,3065,1477316,1480826
392,无面人,179,听小“太阳”讲故事（求月票）,3382,1480826,1484709
393,无面人,180,时之虫,3347,1484709,1488527
394,无面人,181,《灵界见闻》,3134,1488527,1492070
395,无面人,182,“治安官”非凡特性,3129,1492070,1495689
396,无面人,183,净光兄弟会,3194,1495689,1499357
397,无面人,184,末日预言,3250,1499357,1503086
398,无面人,185,诱人的蘑菇,3063,1503086,1506629
399,无面人,186,被污染者,3250,1506629,1510400
400,无面人,187,“新手”的成长,3828,1510400,1514896
401,无面人,188,神启,3129,1514896,1518622
402,无面人,189,挖掘,3474,1518622,1522687
403,无面人,190,私家侦探的宿命（周一求推荐票）,3045,1522687,1526257
404,无面人,191,嘱托（周一求推荐票）,3179,1526257,1530035
405,无面人,192,“邪教”,3158,1530035,1533696
406,无面人,193,一个值得庆幸又非常无奈的事实,3104,1533696,1537289
407,无面人,194,真眷者,3108,1537289,1540983
408,无面人,195,大胆假设,3120,1540983,1544654
409,无面人,196,十二月,4334,1544654,1549553
410,无面人,197,弗兰米.凯奇,3142,1549553,1553248
411,无面人,198,纷至沓来,3142,1553248,1556941
412,无面人,199,信,3101,1556941,1560602
413,无面人,200,访客们,3253,1560602,1564444
414,无面人,201,欲望使徒（周一求推荐票月票）,3394,1564444,1568458
415,无面人,202,戒指,3223,1568458,1572223
416,无面人,203,正正得负,3249,1572223,1576088
417,无面人,204,阿罗德斯,3158,1576088,1579904
418,无面人,205,心灵的力量,3175,1579904,1583684
419,无面人,206,心愿,3059,1583684,1587315
420,无面人,207,恶魔家族,3084,1587315,1590895
421,无面人,208,昂贵的材料,3240,1590895,1594764
422,无面人,209,真正的杰森,3143,1594764,1598398
423,无面人,210,起风,3507,1598398,1602435
424,无面人,211,改变的问题,3077,1602435,1606118
425,无面人,212,玫瑰花下,3303,1606118,1610032
426,无面人,213,“1—42”,3099,1610032,1613660
427,无面人,214,时代的选择,3172,1613660,1617480
428,无面人,215,背锅者（周一求推荐票月票）,3322,1617480,1621314
429,无面人,216,各方（周一求推荐票月票）,3559,1621314,1625576
430,无面人,217,新的一天,3047,1625576,1629186
431,无面人,218,病急不能乱投医,3150,1629186,1632866
432,无面人,219,契约生物,3190,1632866,1636643
433,无面人,220,情报贩子,3120,1636643,1640331
434,无面人,221,陵墓和悬赏,3030,1640331,1643931
435,无面人,222,聚合效应,3236,1643931,1647736
436,无面人,223,克莱恩的要求,3331,1647736,1651626
437,无面人,224,讣告,3057,1651626,1655232
438,无面人,225,邀请,3030,1655232,1658757
439,无面人,226,慷慨的王子,3314,1658757,1662551
440,无面人,227,天使家族,3224,1662551,1666158
441,无面人,228,“渠道”增加,3094,1666158,1669667
442,无面人,229,探索任务（周一求推荐票月票）,3394,1669667,1673658
443,无面人,230,一个人的表演（求月票推荐票）,3357,1673658,1677593
444,无面人,231,告解（月底求月票）,3115,1677593,1681252
445,无面人,232,“直播”（求月票）,3065,1681252,1684891
446,无面人,233,“机械之心”的战斗风格（求月票）,3520,1684891,1688962
447,无面人,234,画像（求月票）,4180,1688962,1693749
448,无面人,235,阿蒙可能的来历（求保底月票）,3427,1693749,1697731
449,无面人,236,更好的选择（求月票）,3627,1697731,1701969
450,无面人,237,分钱（求月票）,3400,1701969,1705995
451,无面人,238,无面人（求月票）,3235,1705995,1709701
452,无面人,239,班森的打算（求月票）,3138,1709701,1713456
453,无面人,240,“阶梯”（求月票）,3470,1713456,1717482
454,无面人,241,我是谁,3440,1717482,1721442
455,无面人,242,求救者,3194,1721442,1725228
456,无面人,243,扮鬼（周一求推荐票月票）,3048,1725228,1728955
457,无面人,244,恶灵提供的消息（周一求推荐票月票）,3179,1728955,1732758
458,无面人,245,一位古老的血族,3302,1732758,1736704
459,无面人,246,错过,3343,1736704,1740650
460,无面人,247,循环的探索,3168,1740650,1744316
461,无面人,248,好心热情“倒吊人”,3263,1744316,1748021
462,无面人,249,什么是奇迹,3051,1748021,1751558
463,无面人,250,自问自答,3332,1751558,1755350
464,无面人,251,咨询,3173,1755350,1758922
465,无面人,252,埃姆林的坚持,3415,1758922,1762866
466,无面人,253,吞尾者,3083,1762866,1766559
467,无面人,254,延迟响应,3405,1766559,1770557
468,无面人,255,月亮,3139,1770557,1774203
469,无面人,256,吸血鬼女王,3173,1774203,1777892
470,无面人,257,名字（周一求推荐票月票）,3360,1777892,1781817
471,无面人,258,克莱恩的准备（周一求月票推荐票）,3095,1781817,1785427
472,无面人,259,隐患,3171,1785427,1789135
473,无面人,260,无面之人,3223,1789135,1792926
474,无面人,261,埃德萨克的“故事”,3281,1792926,1796877
475,无面人,262,绝望女士,3303,1796877,1800713
476,无面人,263,秸秆们,3325,1800713,1804630
477,无面人,264,愚者千虑,3171,1804630,1808406
478,无面人,265,“0”级封印物在行动,3076,1808406,1812057
479,无面人,266,莫名的微笑,3524,1812057,1816187
480,无面人,267,诚实的回报,3294,1816187,1819973
481,无面人,268,数字与人,3499,1819973,1824023
482,无面人,269,辞旧迎新,5629,1824023,1830496
483,旅行家,1,新的身份,3127,1830496,1834066
484,旅行家,2,不对称,3153,1834066,1837621
485,旅行家,3,丰富的信息,3149,1837621,1841132
486,旅行家,4,克莱恩的猜测,3408,1841132,1844969
487,旅行家,5,成长的塔罗会,3510,1844969,1848998
488,旅行家,6,生活费,3776,1848998,1853254
489,旅行家,7,搁浅的提议,3115,1853254,1856905
490,旅行家,8,前水手的忠告,3204,1856905,1860586
491,旅行家,9,调查报告里的夏洛克.莫里亚蒂,3115,1860586,1864174
492,旅行家,10,冒险家,3141,1864174,1867825
493,旅行家,11,狩猎（周一求推荐票月票）,3498,1867825,1871885
494,旅行家,12,舌尖上的鱼人（周一求月票推荐票）,3195,1871885,1875706
495,旅行家,13,宝藏的传说,3400,1875706,1879619
496,旅行家,14,让人向往的大海,3118,1879619,1883168
497,旅行家,15,悬赏墙,3417,1883168,1887156
498,旅行家,16,人设,3620,1887156,1891352
499,旅行家,17,招揽（求月票）,3685,1891352,1895642
500,旅行家,18,审问“白鲨”（求月票）,3241,1895642,1899456
501,旅行家,19,诱饵（求月票）,3341,1899456,1903336
502,旅行家,20,阿兹克回忆里的画面,4052,1903336,1908006
503,旅行家,21,人质（求保底月票）,3119,1908006,1911847
504,旅行家,22,红骷髅海盗团（求月票）,3133,1911847,1915608
505,旅行家,23,价值3000镑的仆人（求月票）,3237,1915608,1919549
506,旅行家,24,天气博物馆（求月票）,3255,1919549,1923419
507,旅行家,25,风中的班西港（周一求推荐票月票）,3332,1923419,1927426
508,旅行家,26,不要外出（求推荐票月票）,3157,1927426,1931242
509,旅行家,27,请求,3697,1931242,1935660
510,旅行家,28,返回的主教,3223,1935660,1939409
511,旅行家,29,“二五仔光环”,3183,1939409,1943198
512,旅行家,30,事情结束？,3771,1943198,1947716
513,旅行家,31,吓唬,3334,1947716,1951675
514,旅行家,32,古神的传说,3396,1951675,1955603
515,旅行家,33,各有收获,3403,1955603,1959537
